COUNTRY,Country_1,PAYP,Pay_period,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
TUR,Türkiye,M,Monthly,2015,2015,TRY,Turkish Lira,0,Units,null,null,1237.5,null,null,null
TUR,Türkiye,M,Monthly,2016,2016,TRY,Turkish Lira,0,Units,null,null,1647,null,null,null
TUR,Türkiye,M,Monthly,2017,2017,TRY,Turkish Lira,0,Units,null,null,1777.5,null,null,null
TUR,Türkiye,M,Monthly,2018,2018,TRY,Turkish Lira,0,Units,null,null,2029.5,null,null,null
TUR,Türkiye,M,Monthly,2019,2019,TRY,Turkish Lira,0,Units,null,null,2558.4,null,null,null
TUR,Türkiye,M,Monthly,2020,2020,TRY,Turkish Lira,0,Units,null,null,2943,null,null,null
TUR,Türkiye,M,Monthly,2021,2021,TRY,Turkish Lira,0,Units,null,null,3577.5,null,null,null
TUR,Türkiye,M,Monthly,2022,2022,TRY,Turkish Lira,0,Units,null,null,5737.5,null,null,null
AUS,Australia,W,Weekly,1995,1995,AUD,Australian Dollar,0,Units,null,null,338.7,null,null,null
AUS,Australia,W,Weekly,1996,1996,AUD,Australian Dollar,0,Units,null,null,346.7,null,null,null
AUS,Australia,W,Weekly,1997,1997,AUD,Australian Dollar,0,Units,null,null,356.1,null,null,null
AUS,Australia,W,Weekly,1998,1998,AUD,Australian Dollar,0,Units,null,null,368.7,null,null,null
AUS,Australia,W,Weekly,1999,1999,AUD,Australian Dollar,0,Units,null,null,381.4,null,null,null
AUS,Australia,W,Weekly,2000,2000,AUD,Australian Dollar,0,Units,null,null,395.4,null,null,null
AUS,Australia,W,Weekly,2001,2001,AUD,Australian Dollar,0,Units,null,null,409.1,null,null,null
AUS,Australia,W,Weekly,2002,2002,AUD,Australian Dollar,0,Units,null,null,425.4,null,null,null
AUS,Australia,W,Weekly,2003,2003,AUD,Australian Dollar,0,Units,null,null,442.7,null,null,null
AUS,Australia,W,Weekly,2004,2004,AUD,Australian Dollar,0,Units,null,null,461.1,null,null,null
AUS,Australia,W,Weekly,2005,2005,AUD,Australian Dollar,0,Units,null,null,477.3,null,null,null
AUS,Australia,W,Weekly,2006,2006,AUD,Australian Dollar,0,Units,null,null,486.7,null,null,null
AUS,Australia,W,Weekly,2007,2007,AUD,Australian Dollar,0,Units,null,null,514.55,null,null,null
AUS,Australia,W,Weekly,2008,2008,AUD,Australian Dollar,0,Units,null,null,527.54,null,null,null
AUS,Australia,W,Weekly,2009,2009,AUD,Australian Dollar,0,Units,null,null,543.78,null,null,null
AUS,Australia,W,Weekly,2010,2010,AUD,Australian Dollar,0,Units,null,null,556.84,null,null,null
AUS,Australia,W,Weekly,2011,2011,AUD,Australian Dollar,0,Units,null,null,579.6,null,null,null
AUS,Australia,W,Weekly,2012,2012,AUD,Australian Dollar,0,Units,null,null,597.85,null,null,null
AUS,Australia,W,Weekly,2013,2013,AUD,Australian Dollar,0,Units,null,null,614.3,null,null,null
AUS,Australia,W,Weekly,2014,2014,AUD,Australian Dollar,0,Units,null,null,631.55,null,null,null
AUS,Australia,W,Weekly,2015,2015,AUD,Australian Dollar,0,Units,null,null,648.9,null,null,null
AUS,Australia,W,Weekly,2016,2016,AUD,Australian Dollar,0,Units,null,null,664.8,null,null,null
AUS,Australia,W,Weekly,2017,2017,AUD,Australian Dollar,0,Units,null,null,683.8,null,null,null
AUS,Australia,W,Weekly,2018,2018,AUD,Australian Dollar,0,Units,null,null,707.05,null,null,null
AUS,Australia,W,Weekly,2019,2019,AUD,Australian Dollar,0,Units,null,null,730,null,null,null
AUS,Australia,W,Weekly,2020,2020,AUD,Australian Dollar,0,Units,null,null,747.3,null,null,null
AUS,Australia,W,Weekly,2021,2021,AUD,Australian Dollar,0,Units,null,null,763.2,null,null,null
AUS,Australia,W,Weekly,2022,2022,AUD,Australian Dollar,0,Units,null,null,792.6,null,null,null
HUN,Hungary,M,Monthly,1995,1995,HUF,Forint,0,Units,null,null,11917,null,null,null
HUN,Hungary,M,Monthly,1996,1996,HUF,Forint,0,Units,null,null,14308,null,null,null
HUN,Hungary,M,Monthly,1997,1997,HUF,Forint,0,Units,null,null,17000,null,null,null
HUN,Hungary,M,Monthly,1998,1998,HUF,Forint,0,Units,null,null,19500,null,null,null
HUN,Hungary,M,Monthly,1999,1999,HUF,Forint,0,Units,null,null,22500,null,null,null
HUN,Hungary,M,Monthly,2000,2000,HUF,Forint,0,Units,null,null,25500,null,null,null
HUN,Hungary,M,Monthly,2001,2001,HUF,Forint,0,Units,null,null,40000,null,null,null
HUN,Hungary,M,Monthly,2002,2002,HUF,Forint,0,Units,null,null,50000,null,null,null
HUN,Hungary,M,Monthly,2003,2003,HUF,Forint,0,Units,null,null,50000,null,null,null
HUN,Hungary,M,Monthly,2004,2004,HUF,Forint,0,Units,null,null,53000,null,null,null
HUN,Hungary,M,Monthly,2005,2005,HUF,Forint,0,Units,null,null,57000,null,null,null
HUN,Hungary,M,Monthly,2006,2006,HUF,Forint,0,Units,null,null,62500,null,null,null
HUN,Hungary,M,Monthly,2007,2007,HUF,Forint,0,Units,null,null,65500,null,null,null
HUN,Hungary,M,Monthly,2008,2008,HUF,Forint,0,Units,null,null,69000,null,null,null
HUN,Hungary,M,Monthly,2009,2009,HUF,Forint,0,Units,null,null,71500,null,null,null
HUN,Hungary,M,Monthly,2010,2010,HUF,Forint,0,Units,null,null,73500,null,null,null
HUN,Hungary,M,Monthly,2011,2011,HUF,Forint,0,Units,null,null,78000,null,null,null
HUN,Hungary,M,Monthly,2012,2012,HUF,Forint,0,Units,null,null,93000,null,null,null
HUN,Hungary,M,Monthly,2013,2013,HUF,Forint,0,Units,null,null,98000,null,null,null
HUN,Hungary,M,Monthly,2014,2014,HUF,Forint,0,Units,null,null,101500,null,null,null
HUN,Hungary,M,Monthly,2015,2015,HUF,Forint,0,Units,null,null,105000,null,null,null
HUN,Hungary,M,Monthly,2016,2016,HUF,Forint,0,Units,null,null,111000,null,null,null
HUN,Hungary,M,Monthly,2017,2017,HUF,Forint,0,Units,null,null,127650,null,null,null
HUN,Hungary,M,Monthly,2018,2018,HUF,Forint,0,Units,null,null,138000,null,null,null
