LOCATION,Country,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-02,Feb-2021,PC,Percentage,0,Units,null,null,-0.016490765171509,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-03,Mar-2021,PC,Percentage,0,Units,null,null,1.34192774076066,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-04,Apr-2021,PC,Percentage,0,Units,null,null,2.22912196732134,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-05,May-2021,PC,Percentage,0,Units,null,null,2.7172006849739,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-06,Jun-2021,PC,Percentage,0,Units,null,null,2.73245366329517,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-07,Jul-2021,PC,Percentage,0,Units,null,null,2.88153681963714,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-08,Aug-2021,PC,Percentage,0,Units,null,null,3.301745119362,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-09,Sep-2021,PC,Percentage,0,Units,null,null,4.00723888314375,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-10,Oct-2021,PC,Percentage,0,Units,null,null,5.36684223520696,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-11,Nov-2021,PC,Percentage,0,Units,null,null,5.5162426694876,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2021-12,Dec-2021,PC,Percentage,0,Units,null,null,6.54990058827146,null,null,null
